,date,mean temperature (degC)
0,1975-03-01,25.8
1,1975-03-02,26.0
2,1975-03-03,25.6
3,1975-03-04,26.9
4,1975-03-05,27.2
5,1975-03-06,28.1
6,1975-03-07,28.2
7,1975-03-08,27.8
8,1975-03-09,28.8
9,1975-03-10,28.2
10,1975-03-11,28.8
11,1975-03-12,28.8
12,1975-03-13,29.8
13,1975-03-14,29.9
14,1975-03-15,30.9
15,1975-03-16,29.2
16,1975-03-17,28.9
17,1975-03-18,27.2
18,1975-03-19,26.2
19,1975-03-20,24.6
20,1975-03-21,21.0
21,1975-03-22,22.9
22,1975-03-23,25.9
23,1975-03-24,25.8
24,1975-03-25,26.0
25,1975-03-26,27.2
26,1975-03-27,27.8
27,1975-03-28,27.8
28,1975-03-29,27.6
29,1975-03-30,27.4
30,1975-03-31,28.1
31,1975-04-01,22.4
32,1975-04-02,19.1
33,1975-04-03,22.3
34,1975-04-04,23.1
35,1975-04-05,24.1
36,1975-04-06,24.3
37,1975-04-07,24.9
38,1975-04-08,23.8
39,1975-04-09,25.3
40,1975-04-10,24.4
41,1975-04-11,23.9
42,1975-04-12,23.8
43,1975-04-13,23.9
44,1975-04-14,24.0
45,1975-04-15,23.4
46,1975-04-16,23.5
47,1975-04-17,24.4
48,1975-04-18,24.0
49,1975-04-19,23.4
50,1975-04-20,22.6
51,1975-04-21,23.1
52,1975-04-22,23.6
53,1975-04-23,24.3
54,1975-04-24,22.0
55,1975-04-25,20.9
56,1975-04-26,20.5
57,1975-04-27,19.5
58,1975-04-28,20.3
59,1975-04-29,21.6
60,1975-04-30,21.6
61,1975-05-01,24.3
62,1975-05-02,22.3
63,1975-05-03,21.5
64,1975-05-04,21.5
65,1975-05-05,21.7
66,1975-05-06,20.9
67,1975-05-07,20.3
68,1975-05-08,20.5
69,1975-05-09,21.1
70,1975-05-10,21.4
71,1975-05-11,19.8
72,1975-05-12,19.0
73,1975-05-13,19.4
74,1975-05-14,17.9
75,1975-05-15,16.4
76,1975-05-16,16.8
77,1975-05-17,18.8
78,1975-05-18,19.8
79,1975-05-19,19.9
80,1975-05-20,20.6
81,1975-05-21,19.9
82,1975-05-22,21.0
83,1975-05-23,23.8
84,1975-05-24,23.5
85,1975-05-25,15.3
86,1975-05-26,14.1
87,1975-05-27,17.0
88,1975-05-28,15.5
89,1975-05-29,17.3
90,1975-05-30,16.4
91,1975-05-31,17.6
92,1975-06-01,18.5
93,1975-06-02,18.9
94,1975-06-03,19.5
95,1975-06-04,19.3
96,1975-06-05,18.9
97,1975-06-06,15.9
98,1975-06-07,13.5
99,1975-06-08,17.8
100,1975-06-09,20.0
101,1975-06-10,19.5
102,1975-06-11,19.9
103,1975-06-12,18.3
104,1975-06-13,10.0
105,1975-06-14,10.9
106,1975-06-15,12.5
107,1975-06-16,12.2
108,1975-06-17,13.2
109,1975-06-18,14.8
110,1975-06-19,17.3
111,1975-06-20,13.4
112,1975-06-21,11.4
113,1975-06-22,11.7
114,1975-06-23,16.0
115,1975-06-24,17.0
116,1975-06-25,18.2
117,1975-06-26,13.5
118,1975-06-27,15.0
119,1975-06-28,16.0
120,1975-06-29,18.5
121,1975-06-30,19.6
122,1975-07-01,21.0
123,1975-07-02,20.3
