,date,maximum temperature (degC)
0,1975-03-01,37.4
1,1975-03-02,39.9
2,1975-03-03,39.2
3,1975-03-04,38.3
4,1975-03-05,36.2
5,1975-03-06,37.6
6,1975-03-07,40.1
7,1975-03-08,41.4
8,1975-03-09,40.1
9,1975-03-10,36.7
10,1975-03-11,36.9
11,1975-03-12,40.6
12,1975-03-13,41.5
13,1975-03-14,41.5
14,1975-03-15,40.1
15,1975-03-16,37.4
16,1975-03-17,37.5
17,1975-03-18,39.7
18,1975-03-19,39.4
19,1975-03-20,40.7
20,1975-03-21,41.1
21,1975-03-22,36.2
22,1975-03-23,36.7
23,1975-03-24,34.5
24,1975-03-25,36.6
25,1975-03-26,35.4
26,1975-03-27,35.6
27,1975-03-28,35.7
28,1975-03-29,34.5
29,1975-03-30,34.9
30,1975-03-31,32.3
31,1975-04-01,33.5
32,1975-04-02,33.5
33,1975-04-03,35.3
34,1975-04-04,38.2
35,1975-04-05,36.3
36,1975-04-06,33.5
37,1975-04-07,35.9
38,1975-04-08,34.5
39,1975-04-09,34.5
40,1975-04-10,36.2
41,1975-04-11,36.5
42,1975-04-12,37.4
43,1975-04-13,37.4
44,1975-04-14,36.1
45,1975-04-15,36.1
46,1975-04-16,37.9
47,1975-04-17,36.6
48,1975-04-18,37.9
49,1975-04-19,36.1
50,1975-04-20,37.0
51,1975-04-21,35.0
52,1975-04-22,33.0
53,1975-04-23,31.1
54,1975-04-24,32.3
55,1975-04-25,34.8
56,1975-04-26,34.7
57,1975-04-27,34.0
58,1975-04-28,34.0
59,1975-04-29,36.2
60,1975-04-30,36.3
61,1975-05-01,35.7
62,1975-05-02,36.1
63,1975-05-03,36.6
64,1975-05-04,36.6
65,1975-05-05,35.6
66,1975-05-06,35.4
67,1975-05-07,34.1
68,1975-05-08,29.9
69,1975-05-09,31.8
70,1975-05-10,30.7
71,1975-05-11,29.3
72,1975-05-12,29.9
73,1975-05-13,31.8
74,1975-05-14,31.5
75,1975-05-15,28.9
76,1975-05-16,29.6
77,1975-05-17,30.7
78,1975-05-18,31.3
79,1975-05-19,32.0
80,1975-05-20,33.3
81,1975-05-21,34.9
82,1975-05-22,34.8
83,1975-05-23,33.7
84,1975-05-24,31.2
85,1975-05-25,29.3
86,1975-05-26,31.8
87,1975-05-27,31.8
88,1975-05-28,32.9
89,1975-05-29,31.8
90,1975-05-30,33.5
91,1975-05-31,29.3
92,1975-06-01,31.9
93,1975-06-02,31.1
94,1975-06-03,31.9
95,1975-06-04,31.9
96,1975-06-05,32.0
97,1975-06-06,30.3
98,1975-06-07,27.9
99,1975-06-08,27.8
100,1975-06-09,27.8
101,1975-06-10,28.7
102,1975-06-11,29.0
103,1975-06-12,27.9
104,1975-06-13,26.4
105,1975-06-14,24.7
106,1975-06-15,23.9
107,1975-06-16,25.3
108,1975-06-17,25.4
109,1975-06-18,24.2
110,1975-06-19,24.9
111,1975-06-20,27.9
112,1975-06-21,28.8
113,1975-06-22,23.8
114,1975-06-23,27.2
115,1975-06-24,24.9
116,1975-06-25,26.6
117,1975-06-26,27.9
118,1975-06-27,26.8
119,1975-06-28,25.4
120,1975-06-29,23.9
121,1975-06-30,26.9
122,1975-07-01,28.3
123,1975-07-02,20.9
124,1975-07-03,21.9
125,1975-07-04,25.5
126,1975-07-05,26.0
127,1975-07-06,27.1
128,1975-07-07,24.6
129,1975-07-08,27.8
130,1975-07-09,26.7
131,1975-07-10,28.7
132,1975-07-11,29.5
133,1975-07-12,27.6
134,1975-07-13,23.5
135,1975-07-14,24.6
136,1975-07-15,25.4
137,1975-07-16,29.3
138,1975-07-17,21.5
139,1975-07-18,24.9
140,1975-07-19,23.6
141,1975-07-20,25.5
142,1975-07-21,27.2
143,1975-07-22,28.4
144,1975-07-23,28.2
145,1975-07-24,28.4
146,1975-07-25,30.7
147,1975-07-26,34.8
148,1975-07-27,32.8
149,1975-07-28,34.0
150,1975-07-29,31.8
151,1975-07-30,24.6
152,1975-07-31,21.7
153,1975-08-01,21.2
154,1975-08-02,22.5
155,1975-08-03,24.1
156,1975-08-04,25.0
157,1975-08-05,25.0
158,1975-08-06,28.5
159,1975-08-07,28.3
160,1975-08-08,28.3
