,date,maximum temperature (degC)
0,1975-03-01,27.9
1,1975-03-02,28.2
2,1975-03-03,29.8
3,1975-03-04,32.0
4,1975-03-05,30.6
5,1975-03-06,29.8
6,1975-03-07,30.1
7,1975-03-08,31.9
8,1975-03-09,31.9
9,1975-03-10,32.1
10,1975-03-11,31.5
11,1975-03-12,35.8
12,1975-03-13,34.3
13,1975-03-14,31.0
14,1975-03-15,30.1
15,1975-03-16,33.6
16,1975-03-17,32.3
17,1975-03-18,27.9
18,1975-03-19,28.6
19,1975-03-20,26.4
20,1975-03-21,25.0
21,1975-03-22,26.4
22,1975-03-23,28.9
23,1975-03-24,29.3
24,1975-03-25,29.5
25,1975-03-26,29.5
26,1975-03-27,25.3
27,1975-03-28,30.7
28,1975-03-29,30.5
29,1975-03-30,29.8
30,1975-03-31,30.1
31,1975-04-01,19.9
32,1975-04-02,24.2
33,1975-04-03,26.7
34,1975-04-04,27.2
35,1975-04-05,27.6
36,1975-04-06,29.5
37,1975-04-07,29.2
38,1975-04-08,27.9
39,1975-04-09,28.2
40,1975-04-10,28.2
41,1975-04-11,26.8
42,1975-04-12,27.4
43,1975-04-13,27.1
44,1975-04-14,25.7
45,1975-04-15,26.9
46,1975-04-16,28.2
47,1975-04-17,27.8
48,1975-04-18,27.7
49,1975-04-19,29.2
50,1975-04-20,29.8
51,1975-04-21,29.8
52,1975-04-22,27.8
53,1975-04-23,28.7
54,1975-04-24,27.2
55,1975-04-25,26.2
56,1975-04-26,24.3
57,1975-04-27,21.5
58,1975-04-28,24.9
59,1975-04-29,27.4
60,1975-04-30,26.7
61,1975-05-01,26.8
62,1975-05-02,25.9
63,1975-05-03,24.5
64,1975-05-04,26.0
65,1975-05-05,24.7
66,1975-05-06,25.4
67,1975-05-07,25.6
68,1975-05-08,25.3
69,1975-05-09,26.5
70,1975-05-10,25.4
71,1975-05-11,23.2
72,1975-05-12,24.2
73,1975-05-13,24.4
74,1975-05-14,26.4
75,1975-05-15,22.4
76,1975-05-16,24.3
77,1975-05-17,25.3
78,1975-05-18,25.7
79,1975-05-19,26.5
80,1975-05-20,25.7
81,1975-05-21,26.5
82,1975-05-22,26.6
83,1975-05-23,26.5
84,1975-05-24,27.7
85,1975-05-25,22.5
86,1975-05-26,20.1
87,1975-05-27,20.2
88,1975-05-28,23.2
89,1975-05-29,22.2
90,1975-05-30,23.8
91,1975-05-31,23.9
92,1975-06-01,24.7
