,date,minimum temperature (degC)
0,1975-03-01,16.8
1,1975-03-02,17.5
2,1975-03-03,19.2
3,1975-03-04,19.0
4,1975-03-05,21.6
5,1975-03-06,19.5
6,1975-03-07,20.3
7,1975-03-08,20.4
8,1975-03-09,19.0
9,1975-03-10,20.4
10,1975-03-11,21.2
11,1975-03-12,20.9
12,1975-03-13,21.3
13,1975-03-14,21.3
14,1975-03-15,20.4
15,1975-03-16,20.1
16,1975-03-17,23.0
17,1975-03-18,22.9
18,1975-03-19,22.9
19,1975-03-20,22.2
20,1975-03-21,20.3
21,1975-03-22,17.5
22,1975-03-23,19.1
23,1975-03-24,18.6
24,1975-03-25,17.9
25,1975-03-26,17.8
26,1975-03-27,19.5
27,1975-03-28,19.6
28,1975-03-29,20.9
29,1975-03-30,22.7
30,1975-03-31,23.2
31,1975-04-01,19.8
32,1975-04-02,12.8
33,1975-04-03,14.9
34,1975-04-04,16.4
35,1975-04-05,18.2
36,1975-04-06,16.4
37,1975-04-07,16.9
38,1975-04-08,15.8
39,1975-04-09,15.0
40,1975-04-10,15.2
41,1975-04-11,16.5
42,1975-04-12,17.1
43,1975-04-13,16.5
44,1975-04-14,15.4
45,1975-04-15,15.6
46,1975-04-16,17.4
47,1975-04-17,18.1
48,1975-04-18,15.3
49,1975-04-19,17.4
50,1975-04-20,12.5
51,1975-04-21,13.1
52,1975-04-22,16.6
53,1975-04-23,14.9
54,1975-04-24,14.3
55,1975-04-25,14.0
56,1975-04-26,13.8
57,1975-04-27,15.0
58,1975-04-28,15.0
59,1975-04-29,14.9
60,1975-04-30,14.9
61,1975-05-01,17.9
62,1975-05-02,17.3
63,1975-05-03,15.6
64,1975-05-04,15.2
65,1975-05-05,15.5
66,1975-05-06,15.6
67,1975-05-07,13.0
68,1975-05-08,13.4
69,1975-05-09,14.5
70,1975-05-10,13.1
71,1975-05-11,9.2
72,1975-05-12,9.6
73,1975-05-13,6.7
74,1975-05-14,8.7
75,1975-05-15,8.6
76,1975-05-16,6.9
77,1975-05-17,7.8
78,1975-05-18,7.1
79,1975-05-19,9.0
80,1975-05-20,9.8
81,1975-05-21,13.7
82,1975-05-22,13.1
83,1975-05-23,12.8
84,1975-05-24,14.0
85,1975-05-25,14.0
86,1975-05-26,6.8
87,1975-05-27,7.0
88,1975-05-28,7.4
89,1975-05-29,9.8
90,1975-05-30,13.4
91,1975-05-31,11.3
92,1975-06-01,9.3
93,1975-06-02,10.6
94,1975-06-03,9.9
95,1975-06-04,11.8
96,1975-06-05,9.0
97,1975-06-06,6.8
98,1975-06-07,5.9
99,1975-06-08,10.1
100,1975-06-09,14.2
101,1975-06-10,13.0
102,1975-06-11,12.7
103,1975-06-12,7.6
104,1975-06-13,5.2
105,1975-06-14,8.9
106,1975-06-15,8.9
107,1975-06-16,7.9
108,1975-06-17,9.0
109,1975-06-18,10.7
110,1975-06-19,12.7
111,1975-06-20,14.0
112,1975-06-21,8.1
113,1975-06-22,11.7
114,1975-06-23,8.7
115,1975-06-24,9.3
116,1975-06-25,8.9
117,1975-06-26,7.5
118,1975-06-27,4.9
119,1975-06-28,6.2
120,1975-06-29,7.1
121,1975-06-30,11.6
122,1975-07-01,9.1
123,1975-07-02,13.7
124,1975-07-03,13.6
125,1975-07-04,10.6
126,1975-07-05,7.8
127,1975-07-06,9.1
128,1975-07-07,11.7
129,1975-07-08,5.9
130,1975-07-09,8.8
131,1975-07-10,7.3
132,1975-07-11,5.2
133,1975-07-12,3.2
134,1975-07-13,6.6
135,1975-07-14,11.8
136,1975-07-15,6.6
137,1975-07-16,8.4
138,1975-07-17,8.4
139,1975-07-18,9.7
140,1975-07-19,11.9
141,1975-07-20,8.8
142,1975-07-21,7.9
143,1975-07-22,7.5
144,1975-07-23,13.1
145,1975-07-24,11.7
146,1975-07-25,10.7
147,1975-07-26,11.0
148,1975-07-27,14.0
149,1975-07-28,13.9
150,1975-07-29,14.0
151,1975-07-30,14.5
152,1975-07-31,12.2
153,1975-08-01,9.0
154,1975-08-02,11.2
155,1975-08-03,15.5
156,1975-08-04,12.5
157,1975-08-05,16.4
158,1975-08-06,6.5
159,1975-08-07,8.8
160,1975-08-08,13.1
161,1975-08-09,13.0
162,1975-08-10,13.2
163,1975-08-11,11.5
164,1975-08-12,13.0
165,1975-08-13,6.8
166,1975-08-14,6.5
167,1975-08-15,13.0
168,1975-08-16,12.3
169,1975-08-17,12.3
170,1975-08-18,10.1
171,1975-08-19,4.7
172,1975-08-20,6.0
173,1975-08-21,5.0
174,1975-08-22,2.9
175,1975-08-23,3.0
176,1975-08-24,4.8
177,1975-08-25,5.0
178,1975-08-26,8.0
179,1975-08-27,8.0
180,1975-08-28,16.9
181,1975-08-29,12.8
182,1975-08-30,4.4
183,1975-08-31,13.3
184,1975-09-01,13.4
185,1975-09-02,9.8
186,1975-09-03,11.9
187,1975-09-04,13.3
188,1975-09-05,5.2
189,1975-09-06,10.6
190,1975-09-07,12.8
191,1975-09-08,12.2
192,1975-09-09,11.6
193,1975-09-10,13.0
194,1975-09-11,17.2
195,1975-09-12,16.7
196,1975-09-13,14.6
197,1975-09-14,15.6
198,1975-09-15,17.1
199,1975-09-16,14.8
200,1975-09-17,13.6
201,1975-09-18,13.0
202,1975-09-19,13.9
203,1975-09-20,13.6
204,1975-09-21,14.6
205,1975-09-22,18.0
206,1975-09-23,17.3
207,1975-09-24,14.0
208,1975-09-25,14.0
209,1975-09-26,12.6
210,1975-09-27,12.8
211,1975-09-28,14.8
212,1975-09-29,13.0
213,1975-09-30,13.2
214,1975-10-01,17.0
215,1975-10-02,16.0
216,1975-10-03,12.0
217,1975-10-04,10.3
218,1975-10-05,12.8
219,1975-10-06,12.7
220,1975-10-07,13.0
221,1975-10-08,12.3
222,1975-10-09,17.4
223,1975-10-10,14.7
224,1975-10-11,14.3
225,1975-10-12,15.9
226,1975-10-13,11.8
227,1975-10-14,12.7
228,1975-10-15,14.6
229,1975-10-16,14.1
230,1975-10-17,17.6
231,1975-10-18,16.6
232,1975-10-19,17.3
233,1975-10-20,17.8
234,1975-10-21,20.3
235,1975-10-22,20.0
236,1975-10-23,19.4
237,1975-10-24,20.9
238,1975-10-25,19.8
239,1975-10-26,15.3
240,1975-10-27,16.2
241,1975-10-28,15.3
242,1975-10-29,17.1
243,1975-10-30,13.0
244,1975-10-31,15.3
245,1975-11-01,14.8
246,1975-11-02,17.8
247,1975-11-03,17.8
248,1975-11-04,19.9
249,1975-11-05,20.7
250,1975-11-06,21.5
251,1975-11-07,17.5
252,1975-11-08,17.6
253,1975-11-09,19.2
254,1975-11-10,14.9
255,1975-11-11,14.5
256,1975-11-12,16.1
257,1975-11-13,17.9
258,1975-11-14,17.9
259,1975-11-15,19.7
260,1975-11-16,18.8
261,1975-11-17,18.5
262,1975-11-18,17.9
263,1975-11-19,14.3
264,1975-11-20,12.8
265,1975-11-21,13.6
266,1975-11-22,22.2
267,1975-11-23,22.2
268,1975-11-24,21.8
269,1975-11-25,18.1
270,1975-11-26,19.2
271,1975-11-27,20.7
272,1975-11-28,19.1
273,1975-11-29,17.5
274,1975-11-30,18.6
275,1975-12-01,17.1
276,1975-12-02,17.3
277,1975-12-03,18.1
278,1975-12-04,18.8
279,1975-12-05,21.6
280,1975-12-06,20.3
281,1975-12-07,19.7
282,1975-12-08,20.9
283,1975-12-09,20.2
284,1975-12-10,21.3
285,1975-12-11,21.3
286,1975-12-12,21.1
287,1975-12-13,20.6
288,1975-12-14,21.6
289,1975-12-15,19.5
290,1975-12-16,19.3
291,1975-12-17,19.7
292,1975-12-18,23.0
293,1975-12-19,24.7
294,1975-12-20,19.2
295,1975-12-21,17.5
296,1975-12-22,19.7
297,1975-12-23,20.9
298,1975-12-24,21.8
299,1975-12-25,19.2
300,1975-12-26,17.7
301,1975-12-27,18.2
302,1975-12-28,20.3
303,1975-12-29,19.7
304,1975-12-30,21.1
305,1975-12-31,21.8
306,1976-01-01,20.2
307,1976-01-02,17.7
308,1976-01-03,19.4
309,1976-01-04,20.4
310,1976-01-05,18.6
311,1976-01-06,18.6
312,1976-01-07,20.4
313,1976-01-08,20.5
314,1976-01-09,21.9
315,1976-01-10,23.8
316,1976-01-11,20.4
317,1976-01-12,17.2
318,1976-01-13,21.9
319,1976-01-14,22.7
320,1976-01-15,23.5
321,1976-01-16,25.2
322,1976-01-17,22.5
323,1976-01-18,19.0
324,1976-01-19,20.5
325,1976-01-20,20.4
326,1976-01-21,24.7
327,1976-01-22,24.8
328,1976-01-23,25.1
329,1976-01-24,23.5
330,1976-01-25,21.2
331,1976-01-26,20.7
332,1976-01-27,16.7
333,1976-01-28,17.7
334,1976-01-29,18.5
335,1976-01-30,18.8
336,1976-01-31,20.4
337,1976-02-01,19.4
338,1976-02-02,23.0
339,1976-02-03,20.7
340,1976-02-04,21.0
341,1976-02-05,19.7
342,1976-02-06,18.9
343,1976-02-07,19.9
344,1976-02-08,18.1
345,1976-02-09,18.7
346,1976-02-10,16.5
347,1976-02-11,15.7
348,1976-02-12,20.0
349,1976-02-13,21.9
350,1976-02-14,21.0
351,1976-02-15,20.6
352,1976-02-16,18.6
353,1976-02-17,17.7
354,1976-02-18,17.5
355,1976-02-19,17.7
356,1976-02-20,18.5
357,1976-02-21,20.1
358,1976-02-22,20.6
359,1976-02-23,21.0
360,1976-02-24,22.1
361,1976-02-25,21.5
362,1976-02-26,22.8
363,1976-02-27,22.8
364,1976-02-28,21.8
365,1976-02-29,19.0
366,1976-03-01,21.6
367,1976-03-02,22.8
368,1976-03-03,21.6
369,1976-03-04,17.8
370,1976-03-05,21.6
371,1976-03-06,20.1
372,1976-03-07,20.2
373,1976-03-08,21.6
374,1976-03-09,21.6
375,1976-03-10,21.2
376,1976-03-11,20.4
377,1976-03-12,19.0
378,1976-03-13,21.2
379,1976-03-14,21.2
380,1976-03-15,21.7
381,1976-03-16,18.0
