,date,minimum temperature (degC),site number,site name
0,,20.6,1019.0,KALUMBURU
1,1941-09-01,20.6,,
2,1941-09-02,20.6,,
3,1941-09-03,19.5,,
4,1941-09-04,21.1,,
5,1941-09-05,19.7,,
6,1941-09-06,19.7,,
7,1941-09-07,19.7,,
8,1941-09-08,19.7,,
9,1941-09-09,21.2,,
10,1941-09-10,21.2,,
11,1941-09-11,17.9,,
12,1941-09-12,19.7,,
13,1941-09-13,16.5,,
14,1941-09-14,13.1,,
15,1941-09-15,14.0,,
16,1941-09-16,14.0,,
17,1941-09-17,21.4,,
18,1941-09-18,19.5,,
19,1941-09-19,20.6,,
20,1941-09-20,20.6,,
21,1941-09-21,21.1,,
22,1941-09-22,23.3,,
23,1941-09-23,23.0,,
24,1941-09-24,22.9,,
25,1941-09-25,22.4,,
26,1941-09-26,21.7,,
27,1941-09-27,21.3,,
28,1941-09-28,21.3,,
29,1941-09-29,22.6,,
30,1941-09-30,22.8,,
31,1941-10-01,20.8,,
32,1941-10-02,21.1,,
33,1941-10-03,21.0,,
34,1941-10-04,21.1,,
35,1941-10-05,21.3,,
36,1941-10-06,24.0,,
37,1941-10-07,21.3,,
38,1941-10-08,21.3,,
39,1941-10-09,23.2,,
40,1941-10-10,22.8,,
41,1941-10-11,23.2,,
42,1941-10-12,24.9,,
43,1941-10-13,25.5,,
44,1941-10-14,26.2,,
45,1941-10-15,24.2,,
46,1941-10-16,24.0,,
47,1941-10-17,25.6,,
48,1941-10-18,25.4,,
49,1941-10-19,26.7,,
50,1941-10-20,25.5,,
51,1941-10-21,25.5,,
52,1941-10-22,26.2,,
53,1941-10-23,24.0,,
54,1941-10-24,25.6,,
55,1941-10-25,23.2,,
56,1941-10-26,22.8,,
57,1941-10-27,21.1,,
58,1941-10-28,21.0,,
59,1941-10-29,21.1,,
60,1941-10-30,20.3,,
61,1941-10-31,25.1,,
62,1941-11-01,23.4,,
63,1941-11-02,21.6,,
64,1941-11-03,23.0,,
65,1941-11-04,22.9,,
66,1941-11-05,23.8,,
67,1941-11-06,25.4,,
68,1941-11-07,24.8,,
69,1941-11-08,21.6,,
70,1941-11-09,25.3,,
71,1941-11-10,25.8,,
72,1941-11-11,24.3,,
73,1941-11-12,24.7,,
74,1941-11-13,24.7,,
75,1941-11-14,25.7,,
76,1941-11-15,25.0,,
77,1941-11-16,25.3,,
78,1941-11-17,26.7,,
79,1941-11-18,25.3,,
80,1941-11-19,25.4,,
81,1941-11-20,25.6,,
82,1941-11-21,27.2,,
83,1941-11-22,25.2,,
84,1941-11-23,24.8,,
85,1941-11-24,25.2,,
86,1941-11-25,26.3,,
87,1941-11-26,25.2,,
88,1941-11-27,24.7,,
89,1941-11-28,24.2,,
90,1941-11-29,24.7,,
91,1941-11-30,25.2,,
92,1941-12-01,26.8,,
93,1941-12-02,23.1,,
94,1941-12-03,24.7,,
95,1941-12-04,25.0,,
96,1941-12-05,24.1,,
97,1941-12-06,26.2,,
98,1941-12-07,26.8,,
99,1941-12-08,25.0,,
100,1941-12-09,26.0,,
101,1941-12-10,26.5,,
102,1941-12-11,24.0,,
103,1941-12-12,24.2,,
104,1941-12-13,26.2,,
105,1941-12-14,25.7,,
106,1941-12-15,26.1,,
107,1941-12-16,26.0,,
108,1941-12-17,26.7,,
109,1941-12-18,26.6,,
110,1941-12-19,26.0,,
111,1941-12-20,26.0,,
112,1941-12-21,26.6,,
113,1941-12-22,24.1,,
114,1941-12-23,27.6,,
115,1941-12-24,26.0,,
116,1941-12-25,25.1,,
117,1941-12-26,25.0,,
118,1941-12-27,24.7,,
119,1941-12-28,26.0,,
120,1941-12-29,27.3,,
121,1941-12-30,26.1,,
122,1941-12-31,25.1,,
123,1942-01-01,26.3,,
124,1942-01-02,25.0,,
125,1942-01-03,24.0,,
126,1942-01-04,25.1,,
127,1942-01-05,24.5,,
128,1942-01-06,25.0,,
129,1942-01-07,26.5,,
130,1942-01-08,25.7,,
131,1942-01-09,27.0,,
132,1942-01-10,26.3,,
133,1942-01-11,26.3,,
134,1942-01-12,26.5,,
135,1942-01-13,26.2,,
136,1942-01-14,27.4,,
137,1942-01-15,27.3,,
138,1942-01-16,25.5,,
139,1942-01-17,24.0,,
140,1942-01-18,26.7,,
141,1942-01-19,27.6,,
142,1942-01-20,25.1,,
143,1942-01-21,25.1,,
144,1942-01-22,24.0,,
145,1942-01-23,24.0,,
146,1942-01-24,26.5,,
147,1942-01-25,26.3,,
148,1942-01-26,26.2,,
149,1942-01-27,26.2,,
150,1942-01-28,27.1,,
151,1942-01-29,26.7,,
152,1942-01-30,25.7,,
153,1942-01-31,25.1,,
154,1942-02-01,26.0,,
155,1942-02-02,26.0,,
156,1942-02-03,25.4,,
157,1942-02-04,24.5,,
158,1942-02-05,24.0,,
159,1942-02-06,25.0,,
160,1942-02-07,25.0,,
161,1942-02-08,24.8,,
162,1942-02-09,24.5,,
163,1942-02-10,24.0,,
164,1942-02-11,25.4,,
165,1942-02-12,25.5,,
166,1942-02-13,26.2,,
167,1942-02-14,26.4,,
168,1942-02-15,25.5,,
169,1942-02-16,25.5,,
170,1942-02-17,25.4,,
171,1942-02-18,25.0,,
172,1942-02-19,25.4,,
173,1942-02-20,22.0,,
174,1942-02-21,25.4,,
175,1942-02-22,25.7,,
176,1942-02-23,26.4,,
177,1942-02-24,24.9,,
178,1942-02-25,25.0,,
179,1942-02-26,24.8,,
180,1942-02-27,25.0,,
181,1942-02-28,25.0,,
182,1942-03-01,24.3,,
183,1942-03-02,23.5,,
184,1942-03-03,23.5,,
185,1942-03-04,23.5,,
186,1942-03-05,23.5,,
187,1942-03-06,25.7,,
188,1942-03-07,25.0,,
189,1942-03-08,25.7,,
190,1942-03-09,25.0,,
191,1942-03-10,24.7,,
192,1942-03-11,26.4,,
193,1942-03-12,25.7,,
194,1942-03-13,25.7,,
195,1942-03-14,24.8,,
196,1942-03-15,24.8,,
197,1942-03-16,24.8,,
198,1942-03-17,27.4,,
199,1942-03-18,25.7,,
200,1942-03-19,26.6,,
201,1942-03-20,23.5,,
202,1942-03-21,26.6,,
203,1942-03-22,26.2,,
204,1942-03-23,26.2,,
205,1942-03-24,26.3,,
206,1942-03-25,27.0,,
207,1942-03-26,24.7,,
208,1942-03-27,24.5,,
209,1942-03-28,26.8,,
210,1942-03-29,26.2,,
211,1942-03-30,26.5,,
212,1942-03-31,26.6,,
213,1942-04-01,27.1,,
214,1942-04-02,23.7,,
215,1942-04-03,26.0,,
216,1942-04-04,26.2,,
217,1942-04-05,27.6,,
218,1942-04-06,25.3,,
219,1942-04-07,17.5,,
220,1942-04-08,18.3,,
221,1942-04-09,20.8,,
222,1942-04-10,21.9,,
223,1942-04-11,22.1,,
224,1942-04-12,21.9,,
225,1942-04-13,23.0,,
226,1942-04-14,25.7,,
227,1942-04-15,25.8,,
228,1942-04-16,24.1,,
229,1942-04-17,21.9,,
230,1942-04-18,24.3,,
231,1942-04-19,22.1,,
232,1942-04-20,23.4,,
233,1942-04-21,26.4,,
234,1942-04-22,26.7,,
235,1942-04-23,27.6,,
236,1942-04-24,23.7,,
237,1942-04-25,26.0,,
238,1942-04-26,27.1,,
239,1942-04-27,27.7,,
240,1942-04-28,29.3,,
241,1942-04-29,28.7,,
242,1942-04-30,27.8,,
243,1942-05-01,23.0,,
244,1942-05-02,23.3,,
245,1942-05-03,22.4,,
246,1942-05-04,23.3,,
247,1942-05-05,23.2,,
248,1942-05-06,22.7,,
249,1942-05-07,22.7,,
250,1942-05-08,21.3,,
251,1942-05-09,22.0,,
252,1942-05-10,23.3,,
253,1942-05-11,23.7,,
254,1942-05-12,23.0,,
255,1942-05-13,22.7,,
256,1942-05-14,23.3,,
257,1942-05-15,23.5,,
258,1942-05-16,17.5,,
259,1942-05-17,16.0,,
260,1942-05-18,19.1,,
261,1942-05-19,20.3,,
262,1942-05-20,20.7,,
263,1942-05-21,21.3,,
264,1942-05-22,23.2,,
265,1942-05-23,22.0,,
266,1942-05-24,22.7,,
267,1942-05-25,22.6,,
268,1942-05-26,24.4,,
269,1942-05-27,23.7,,
270,1942-05-28,24.0,,
271,1942-05-29,22.6,,
272,1942-05-30,23.6,,
273,1942-05-31,23.2,,
274,1942-06-01,25.2,,
275,1942-06-02,23.9,,
276,1942-06-03,23.2,,
277,1942-06-04,23.2,,
278,1942-06-05,23.2,,
279,1942-06-06,25.2,,
280,1942-06-07,22.7,,
281,1942-06-08,20.4,,
282,1942-06-09,19.5,,
283,1942-06-10,20.2,,
284,1942-06-11,21.3,,
285,1942-06-12,21.8,,
286,1942-06-13,22.3,,
287,1942-06-14,22.0,,
288,1942-06-15,20.3,,
289,1942-06-16,18.6,,
290,1942-06-17,17.5,,
291,1942-06-18,18.2,,
292,1942-06-19,19.6,,
293,1942-06-20,16.8,,
294,1942-06-21,24.2,,
