,date,minimum temperature (degC)
0,1975-03-01,12.9
1,1975-03-02,14.2
2,1975-03-03,12.9
3,1975-03-04,12.5
4,1975-03-05,13.5
5,1975-03-06,15.6
6,1975-03-07,16.0
7,1975-03-08,11.9
8,1975-03-09,12.9
9,1975-03-10,15.8
10,1975-03-11,15.8
11,1975-03-12,15.8
12,1975-03-13,15.8
13,1975-03-14,15.8
14,1975-03-15,15.8
15,1975-03-16,15.8
16,1975-03-17,15.8
17,1975-03-18,15.8
18,1975-03-19,15.8
19,1975-03-20,15.8
20,1975-03-21,15.8
21,1975-03-22,15.8
22,1975-03-23,15.8
23,1975-03-24,15.8
24,1975-03-25,15.8
25,1975-03-26,15.8
26,1975-03-27,15.8
27,1975-03-28,15.8
28,1975-03-29,15.8
29,1975-03-30,15.8
30,1975-03-31,15.8
31,1975-04-01,15.8
32,1975-04-02,15.8
33,1975-04-03,15.8
34,1975-04-04,15.8
35,1975-04-05,15.8
36,1975-04-06,15.8
37,1975-04-07,15.8
38,1975-04-08,15.8
39,1975-04-09,15.8
40,1975-04-10,15.8
41,1975-04-11,15.8
42,1975-04-12,15.8
43,1975-04-13,15.8
44,1975-04-14,15.8
45,1975-04-15,15.8
46,1975-04-16,15.8
47,1975-04-17,15.8
48,1975-04-18,15.8
49,1975-04-19,15.8
50,1975-04-20,14.2
51,1975-04-21,12.8
52,1975-04-22,11.5
53,1975-04-23,10.8
54,1975-04-24,11.4
55,1975-04-25,12.2
56,1975-04-26,10.9
57,1975-04-27,14.5
58,1975-04-28,12.8
59,1975-04-29,12.5
60,1975-04-30,13.0
61,1975-05-01,12.8
62,1975-05-02,13.0
63,1975-05-03,13.4
64,1975-05-04,14.6
65,1975-05-05,14.2
66,1975-05-06,14.2
67,1975-05-07,15.0
68,1975-05-08,12.6
69,1975-05-09,10.0
70,1975-05-10,11.8
71,1975-05-11,10.7
72,1975-05-12,11.2
73,1975-05-13,10.7
74,1975-05-14,10.0
75,1975-05-15,10.0
76,1975-05-16,7.0
77,1975-05-17,9.7
78,1975-05-18,13.1
79,1975-05-19,14.2
80,1975-05-20,11.7
81,1975-05-21,14.6
82,1975-05-22,13.9
83,1975-05-23,14.2
84,1975-05-24,12.9
85,1975-05-25,11.6
86,1975-05-26,10.9
87,1975-05-27,9.0
88,1975-05-28,9.1
89,1975-05-29,10.7
90,1975-05-30,10.7
91,1975-05-31,12.6
92,1975-06-01,12.4
93,1975-06-02,11.9
