,date,minimum temperature (degC)
0,1975-03-01,10.4
1,1975-03-02,9.8
2,1975-03-03,11.1
3,1975-03-04,12.9
4,1975-03-05,16.2
5,1975-03-06,12.3
6,1975-03-07,14.1
7,1975-03-08,14.1
8,1975-03-09,14.4
9,1975-03-10,16.2
10,1975-03-11,18.1
11,1975-03-12,14.1
12,1975-03-13,14.8
13,1975-03-14,14.4
14,1975-03-15,13.3
15,1975-03-16,10.8
16,1975-03-17,12.4
17,1975-03-18,17.6
18,1975-03-19,17.7
19,1975-03-20,10.3
20,1975-03-21,4.7
21,1975-03-22,5.5
22,1975-03-23,5.9
23,1975-03-24,7.5
24,1975-03-25,10.8
25,1975-03-26,15.8
26,1975-03-27,14.8
27,1975-03-28,18.3
28,1975-03-29,16.0
29,1975-03-30,14.8
30,1975-03-31,11.4
31,1975-04-01,5.4
32,1975-04-02,2.3
33,1975-04-03,5.5
34,1975-04-04,9.0
35,1975-04-05,11.5
36,1975-04-06,14.4
37,1975-04-07,3.2
38,1975-04-08,7.1
39,1975-04-09,12.2
40,1975-04-10,10.2
41,1975-04-11,16.0
42,1975-04-12,12.4
43,1975-04-13,10.4
44,1975-04-14,10.6
45,1975-04-15,10.7
46,1975-04-16,10.0
47,1975-04-17,10.4
48,1975-04-18,10.3
49,1975-04-19,10.2
50,1975-04-20,12.4
51,1975-04-21,10.2
52,1975-04-22,14.8
53,1975-04-23,7.3
54,1975-04-24,9.1
55,1975-04-25,5.2
56,1975-04-26,5.3
57,1975-04-27,5.2
58,1975-04-28,4.3
59,1975-04-29,6.0
60,1975-04-30,7.1
61,1975-05-01,11.5
62,1975-05-02,11.4
63,1975-05-03,8.4
64,1975-05-04,11.7
65,1975-05-05,8.2
66,1975-05-06,7.0
67,1975-05-07,7.0
68,1975-05-08,12.3
69,1975-05-09,4.7
70,1975-05-10,1.8
71,1975-05-11,5.9
72,1975-05-12,1.6
73,1975-05-13,6.3
74,1975-05-14,9.0
75,1975-05-15,6.0
76,1975-05-16,5.7
77,1975-05-17,7.5
78,1975-05-18,3.7
79,1975-05-19,2.1
80,1975-05-20,2.9
81,1975-05-21,5.1
82,1975-05-22,3.9
83,1975-05-23,6.7
84,1975-05-24,8.3
85,1975-05-25,3.7
86,1975-05-26,6.9
87,1975-05-27,1.4
