,date,minimum temperature (degC)
0,1975-03-01,23.9
1,1975-03-02,24.5
2,1975-03-03,26.4
3,1975-03-04,25.6
4,1975-03-05,25.3
5,1975-03-06,24.9
6,1975-03-07,25.7
7,1975-03-08,26.6
8,1975-03-09,24.6
9,1975-03-10,24.4
10,1975-03-11,26.3
11,1975-03-12,25.1
12,1975-03-13,27.6
13,1975-03-14,26.8
14,1975-03-15,27.5
15,1975-03-16,24.6
16,1975-03-17,25.6
17,1975-03-18,25.3
18,1975-03-19,24.9
19,1975-03-20,25.5
20,1975-03-21,27.6
21,1975-03-22,27.1
22,1975-03-23,26.7
23,1975-03-24,26.6
24,1975-03-25,26.7
25,1975-03-26,26.6
26,1975-03-27,23.6
27,1975-03-28,26.2
28,1975-03-29,24.9
29,1975-03-30,25.2
30,1975-03-31,28.3
31,1975-04-01,24.0
32,1975-04-02,22.1
33,1975-04-03,20.9
34,1975-04-04,22.9
35,1975-04-05,23.5
36,1975-04-06,25.1
37,1975-04-07,25.9
38,1975-04-08,23.0
39,1975-04-09,20.8
40,1975-04-10,20.2
41,1975-04-11,23.3
42,1975-04-12,25.0
43,1975-04-13,24.9
44,1975-04-14,21.8
45,1975-04-15,19.5
46,1975-04-16,24.3
47,1975-04-17,22.3
48,1975-04-18,22.9
49,1975-04-19,20.2
50,1975-04-20,22.1
51,1975-04-21,22.1
52,1975-04-22,21.8
53,1975-04-23,23.6
54,1975-04-24,20.9
55,1975-04-25,20.2
56,1975-04-26,20.8
57,1975-04-27,20.7
58,1975-04-28,18.9
59,1975-04-29,20.3
60,1975-04-30,21.9
61,1975-05-01,20.3
62,1975-05-02,17.5
63,1975-05-03,17.2
64,1975-05-04,18.3
65,1975-05-05,19.6
66,1975-05-06,19.1
67,1975-05-07,21.3
68,1975-05-08,21.2
69,1975-05-09,17.0
70,1975-05-10,20.6
71,1975-05-11,18.3
72,1975-05-12,14.3
73,1975-05-13,13.4
74,1975-05-14,16.1
75,1975-05-15,16.2
76,1975-05-16,14.7
77,1975-05-17,14.1
78,1975-05-18,12.9
79,1975-05-19,12.0
80,1975-05-20,13.2
81,1975-05-21,15.2
82,1975-05-22,14.8
83,1975-05-23,14.9
84,1975-05-24,14.0
85,1975-05-25,15.4
86,1975-05-26,11.4
87,1975-05-27,14.7
88,1975-05-28,15.8
89,1975-05-29,15.4
90,1975-05-30,13.4
91,1975-05-31,14.6
92,1975-06-01,13.5
93,1975-06-02,13.5
94,1975-06-03,17.2
95,1975-06-04,18.1
96,1975-06-05,15.8
97,1975-06-06,16.4
98,1975-06-07,12.5
99,1975-06-08,10.0
100,1975-06-09,10.9
101,1975-06-10,10.1
102,1975-06-11,14.8
103,1975-06-12,14.9
104,1975-06-13,14.2
105,1975-06-14,13.8
106,1975-06-15,13.5
107,1975-06-16,10.0
108,1975-06-17,11.2
109,1975-06-18,9.5
